no,c1,c2,ch,bio,p1,p2,p-64,f-64,m2-64,m3-64,dac-64,moc-64,dec-64,coc-64,huc-64,cim-64,cim2-64,serc,aus,eecs
17.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21A.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.UAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21G.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDS.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.UAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS.S61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAS.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.S980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HST.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WGS.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21H.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21L.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21G.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21M.820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
