,no,co,cl,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,sa,mw,pr,on,ra,h,si,nx,rp,f,hf,vu,fa,sp
0,1.00,1,00,0,0,0,0,0,0,1,0,3,2,7,U,[''],['1.001'],"[['18.01', '18.01A']]",,5.57,13.33,32.75,0,0,0,0,12.0,0,1
1,1.000,1,000,0,0,0,0,0,0,1,0,3,2,7,U,[''],[''],[['18.03']],,5.7,9.6,13.3,0,0,1,0,12.0,1,0
2,1.001,1,001,0,0,0,0,0,0,0,0,3,2,7,G,[''],['1.00'],"[['18.01', '18.01A']]",,5.57,13.33,32.75,0,0,0,0,12.0,0,1
3,1.005,1,005,0,0,0,0,0,0,0,0,1,0,2,U,[''],[''],[],,6.1,2.7,19.0,0,0,0,0,3.0,1,0
4,1.008,1,008,0,0,0,0,0,0,0,0,1,1,1,U,[''],[''],[],,6.5,2.4,13.0,0,0,0,0,3.0,1,0
5,1.009,1,009,0,0,0,0,0,0,0,0,1,0,2,U,[''],[''],[],,5.7,2.8,27.0,0,0,0,0,3.0,1,0
6,1.010,1,010,0,0,0,0,0,0,0,0,5,0,7,U,[''],[''],"[['18.02', '18.02A', '18.022']]",,5.4,8.8,21.0,0,0,0,0,12.0,1,0
7,1.013,1,013,0,0,0,0,0,0,0,0,1,3,2,U,[''],[''],[],,3.52,11.17,19.5,0,1,0,0,6.0,1,1
8,1.015,1,015,0,0,0,0,0,0,0,0,3,3,6,U,['2.017'],[''],"[['2.003'], ['2.016'], ['2.678']]",,5.8,13.26,18.75,0,0,0,0,12.0,0,1
9,1.016,1,016,0,0,0,0,0,0,0,0,3,1,5,U,"['2.00C', ' EC.746']",[''],[],,5.97,8.55,13.0,0,0,0,0,9.0,0,1
10,1.018,1,018,0,0,0,0,0,0,1,0,4,0,8,U,"['7.30', ' 12.031']",[''],[],,5.9,7.9,19.5,0,0,1,0,12.0,1,0
11,1.021,1,021,0,0,0,0,0,0,1,0,4,0,8,U,[''],[''],"[['18.03', '3.016B']]",,5.23,8.940000000000001,10.33,0,0,0,0,12.0,0,1
12,1.022,1,022,0,0,0,0,0,0,0,0,4,0,8,U,[''],[''],"[['1.010'], ['18.03'], ['1.00'], ['1.000']]",,5.8,8.0,4.3,0,0,0,0,12.0,1,0
13,1.032,1,032,0,0,0,0,0,0,0,0,3,0,6,U,[''],['1.361'],[['1.037']],,6.8,24.4,2.5,0,0,0,1,9.0,1,0
14,1.036,1,036,0,0,0,0,0,0,0,0,3,1,8,U,[''],[''],"[['1.035'], ['1.050']]",,6.3,10.4,7.5,0,0,0,0,12.0,1,0
15,1.041,1,041,0,0,0,0,0,0,0,0,3,1,8,U,['IDS.075'],"['1.200', ' 11.544', ' IDS.675']","[['1.010'], ['1.00', '1.000']]",,5.93,9.04,15.33,0,0,0,0,12.0,0,1
16,1.050,1,050,0,0,0,0,0,0,1,0,3,2,7,U,[''],['1.550'],"[['18.02', '18.02A', '18.022'], ['8.01', '8.01L', '8.012', '8.011']]",,6.0,11.4,9.0,0,0,1,0,12.0,1,0
17,1.052,1,052,0,0,0,0,0,0,0,0,3,0,9,U,[''],"['1.121', ' 2.174']","[['1.000', '6.100A', '6.100L', '16.C20'], ['18.02', '18.02A', '18.022'], ['8.02', '8.022']]",,0.0,0.0,0.0,0,0,0,0,12.0,0,1
18,1.053,1,053,0,0,0,0,0,0,1,0,4,1,7,U,['2.003'],[''],"[['8.02', '8.022']]",,5.41,10.47,75.88,0,0,1,0,12.0,1,1
19,1.054,1,054,0,0,0,0,0,0,0,0,3,0,9,U,[''],['1.541'],[['1.035']],,5.53,10.28,4.5,0,0,0,0,12.0,0,1
20,1.056,1,056,0,0,0,0,0,0,1,0,3,3,6,U,['4.440'],['4.462'],"[['18.02', '18.02A', '18.022']]",,5.9,10.6,41.75,0,0,0,0,12.0,0,1
21,1.057,1,057,0,0,0,0,0,0,0,0,2,3,4,U,[''],[''],[],,6.3,8.4,9.7,0,0,0,0,9.0,1,0
22,1.058,1,058,0,0,0,0,0,0,0,0,3,0,9,U,[''],"['1.581', ' 2.060', ' 16.221']",[['18.03']],,5.6,11.6,21.3,0,0,0,0,12.0,1,0
23,1.060,1,060,0,0,0,0,0,0,0,0,4,2,6,U,[''],[''],[],,0.0,0.0,0.0,0,0,1,1,12.0,0,1
24,1.060A,1,060A,0,0,0,0,0,0,0,0,2,1,3,U,[''],[''],[],,5.17,10.54,14.0,0,0,1,1,6.0,0,1
25,1.061,1,061,0,0,0,0,0,0,0,0,3,1,8,U,[''],['1.61'],[['1.060']],,6.7,10.1,10.0,0,0,1,1,12.0,1,0
26,1.061A,1,061A,0,0,0,0,0,0,0,0,2,1,3,U,[''],[''],[['1.060A']],,6.0,11.7,2.5,0,0,1,1,6.0,1,0
27,1.062,1,062,0,0,0,0,0,0,0,0,3,0,9,U,"['12.207', ' 18.354']",['18.3541'],"[['18.03', '18.032'], ['8.02', '8.022']]",,5.77,9.72,9.75,0,0,0,0,12.0,0,1
28,1.063,1,063,0,0,0,0,0,0,0,0,3,3,6,U,[''],"['1.631', ' 2.250', ' HST.537']",[['18.03']],,6.35,12.86,0.0,1,0,0,0,12.0,0,1
29,1.066,1,066,0,0,0,0,0,0,0,0,3,0,9,U,"['8.292', ' 12.330']",[''],"[['5.60', '8.044']]",,0.0,0.0,0.0,0,0,0,0,12.0,0,1
30,1.067,1,067,0,0,0,0,0,0,0,0,3,0,9,U,"['10.421', ' IDS.065']","['1.670', ' 10.621', ' IDS.521']","[['18.01', '18.01A'], ['3.091', '5.111', '5.112'], ['8.01', '8.01L', '8.012', '8.011']]",,6.2,9.5,25.0,0,0,0,0,12.0,1,0
31,1.070A,1,070A,0,0,0,0,0,0,0,0,2,0,4,U,['12.320A'],[''],"[['1.060A'], ['1.061A'], ['1.106']]",,5.5,9.0,4.5,0,0,0,1,6.0,1,0
32,1.070B,1,070B,0,0,0,0,0,0,0,0,2,0,4,U,['12.320B'],[''],[['1.070A']],,6.2,7.5,3.5,0,0,0,2,6.0,1,0
33,1.071,1,071,0,0,0,0,0,0,0,0,3,0,9,U,['12.300'],['1.771'],[['18.03']],,6.5,9.0,2.0,1,0,0,0,12.0,1,0
34,1.072,1,072,0,0,0,0,0,0,0,0,3,1,8,U,[''],['1.72'],[['1.061']],,5.1,10.36,14.25,0,0,0,0,12.0,0,1
35,1.074,1,074,0,0,0,0,0,0,0,0,2,0,4,U,[''],[''],[['1.010']],,6.8,6.8,6.0,0,0,0,0,6.0,1,0
36,1.076,1,076,0,0,0,0,0,0,0,0,3,2,7,U,[''],[''],[],,0.0,0.0,0.0,0,0,1,0,12.0,1,0
37,1.080,1,080,0,0,0,0,0,0,0,0,4,0,8,U,[''],[''],"[['3.091', '5.111', '5.112']]",,0.0,0.0,0.0,0,0,0,0,12.0,0,1
38,1.081,1,081,0,0,0,0,0,0,0,0,3,0,9,U,['20.104'],[''],"[['18.02', '18.02A', '18.022'], ['3.091', '5.111', '5.112'], ['7.012', '7.015', '7.014', '7.016']]",,5.9,7.54,4.67,0,0,0,0,12.0,0,1
39,1.082,1,082,0,0,0,0,0,0,0,0,2,0,4,U,[''],"['6.9321', ' 20.005']",[],,5.98,5.5,44.75,0,0,0,0,6.0,1,1
40,1.085,1,085,0,0,0,0,0,0,0,0,3,0,9,U,['12.336'],['1.855'],[['18.03']],,6.2,9.2,6.5,0,0,0,0,12.0,1,0
41,1.086,1,086,0,0,0,0,0,0,0,0,3,0,9,U,[''],['1.861'],"[['1.060'], ['18.03'], ['8.01', '8.01L', '8.012', '8.011'], ['8.02', '8.022']]",,0.0,0.0,0.0,0,0,0,0,12.0,0,1
42,1.088,1,088,0,0,0,0,0,0,0,0,3,0,9,U,[''],"['1.881', ' HST.538']","[['1.000', '6.100B'], ['7.012', '7.015', '7.014', '7.016']]",,0.0,0.0,0.0,0,0,0,0,12.0,0,1
43,1.096,1,096,0,0,0,0,0,0,0,0,3,0,9,U,['10.496'],[''],"[['10.213'], ['10.301']]",,6.9,8.3,8.0,0,0,0,0,12.0,1,0
44,1.101,1,101,0,0,0,0,0,0,0,0,0,4,2,U,[''],[''],[],,5.5,6.6,12.3,0,0,0,0,6.0,1,0
45,1.102,1,102,0,0,0,0,0,0,0,0,1,3,2,U,[''],[''],"[['1.101'], ['1.060'], ['8.02', '8.022']]",,4.95,7.55,10.25,0,0,0,0,6.0,0,1
46,1.103,1,103,0,0,0,0,0,0,0,0,0,2,4,U,['11.173'],"['1.303', ' 11.273']",[],,5.0,4.6,8.0,0,0,0,0,6.0,1,0
47,1.106,1,106,0,0,0,0,0,0,0,0,0,4,2,U,[''],[''],[['1.061A']],,6.1,6.6,6.7,0,0,0,0,6.0,1,0
48,1.107,1,107,0,0,0,0,0,0,0,0,0,4,2,U,[''],[''],[],,5.72,9.68,7.25,0,0,0,0,6.0,0,1
49,1.121,1,121,0,0,0,0,0,0,0,0,3,0,9,G,['2.174'],['1.052'],[],,0.0,0.0,0.0,0,0,0,0,12.0,0,1
50,1.125,1,125,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,5.3,9.7,16.7,0,0,0,0,12.0,1,0
51,1.138,1,138,0,0,0,0,0,0,0,0,3,0,9,G,"['2.062', ' 18.376']",[''],"[['2.003'], ['18.075']]",,6.6,12.5,14.0,0,0,0,0,12.0,0,1
52,1.142,1,142,0,0,0,0,0,0,0,0,4,0,8,G,['15.094'],[''],[['18.06']],,6.25,11.25,27.5,0,0,1,0,12.0,0,1
53,1.146,1,146,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,6.3,10.6,17.3,0,0,0,1,12.0,1,0
54,1.200,1,200,0,0,0,0,0,0,0,0,3,1,8,G,"['11.544', ' IDS.675']","['1.041', ' IDS.075']","[['1.000'], ['1.00'], ['1.010']]",,6.1,11.55,22.0,0,0,0,0,12.0,0,1
55,1.202,1,202,0,0,0,0,0,0,0,0,3,3,6,G,[''],[''],[],,5.22,14.5,15.75,0,0,1,0,12.0,0,1
56,1.205,1,205,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[['1.202']],,6.5,8.5,6.0,0,0,0,0,12.0,1,0
57,1.231,1,231,0,0,0,0,0,0,0,0,3,0,9,G,"['16.781', ' IDS.670']",[''],[],,6.2,8.0,19.0,1,0,0,0,12.0,1,0
58,1.232,1,232,0,0,0,0,0,0,0,0,3,0,9,G,"['15.054', ' 16.71']",[''],[],,6.3,8.5,30.3,0,0,0,0,12.0,1,0
59,1.251,1,251,0,0,0,0,0,0,0,0,3,0,9,G,['11.526'],[''],[],,5.3,10.13,18.0,0,0,0,0,12.0,0,1
60,1.260,1,260,0,0,0,0,0,0,0,0,3,0,9,G,"['15.770', ' IDS.730', ' SCM.260']",['SCM.271'],[],,5.8,8.8,62.0,0,0,0,0,12.0,1,0
61,1.261,1,261,0,0,0,0,0,0,0,0,2,0,4,G,"['15.771', ' SCM.261']",[''],[],,5.95,7.2,36.0,0,0,0,2,6.0,0,1
62,1.263,1,263,0,0,0,0,0,0,0,0,2,0,4,G,"['11.263', ' SCM.293']",[''],[['SCM.254']],,0.0,0.0,0.0,0,0,0,2,6.0,0,1
63,1.266,1,266,0,0,0,0,0,0,0,0,2,0,4,G,[''],[''],"[['15.761', 'SCM.260']]",,0.0,0.0,0.0,0,0,0,1,6.0,0,1
64,1.267,1,267,0,0,0,0,0,0,0,0,3,0,9,G,[''],[''],[],,0.0,0.0,0.0,1,0,0,0,12.0,0,1
