,no,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,mw,sa,pr,ra,h,co_1,co_10,co_11,co_12,co_14,co_15,co_16,co_17,co_18,co_2,co_20,co_21,co_21A,co_21G,co_21H,co_21L,co_21M,co_21W,co_22,co_24,co_3,co_4,co_5,co_6,co_7,co_8,co_9,co_AS,co_CC,co_CDO,co_CMS,co_CSB,co_CSE,co_EC,co_EM,co_ES,co_ESD,co_HST,co_IDS,co_MAS,co_MS,co_NS,co_OR,co_RED,co_SCM,co_SDM,co_SP,co_STS,co_WGS,has_pr,avg_pr_ra,max_pr_ra,avg_pr_h,max_pr_h
0,1.00,0,0,0,0,0,0,1,0,3,2,7,0,['1.001'],[''],"[['18.01', '18.01A']]",5.57,13.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.34,5.34,11.92,11.92
1,1.000,0,0,0,0,0,0,1,0,3,2,7,0,[''],[''],[['18.03']],5.7,9.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.16,5.16,10.13,10.13
2,1.001,0,0,0,0,0,0,0,0,3,2,7,1,['1.00'],[''],"[['18.01', '18.01A']]",5.57,13.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.34,5.34,11.92,11.92
3,1.005,0,0,0,0,0,0,0,0,1,0,2,0,[''],[''],[],6.1,2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,1.008,0,0,0,0,0,0,0,0,1,1,1,0,[''],[''],[],6.5,2.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,1.009,0,0,0,0,0,0,0,0,1,0,2,0,[''],[''],[],5.7,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6,1.010,0,0,0,0,0,0,0,0,5,0,7,0,[''],[''],"[['18.02', '18.02A', '18.022']]",5.4,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.81,6.0,10.38,12.23
7,1.013,0,0,0,0,0,0,0,0,1,3,2,0,[''],[''],[],3.52,11.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,1.015,0,0,0,0,0,0,0,0,3,3,6,0,[''],['2.017'],"[['2.003'], ['2.016'], ['2.678']]",5.8,13.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.933333333333334,6.39,8.983333333333334,10.47
9,1.016,0,0,0,0,0,0,0,0,3,1,5,0,[''],"['2.00C', ' EC.746']",[],5.97,8.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
